issuenumber,resolution_time,room,configuration
56,6655,amber,Gitter
171,3876,amber,Gitter
188,NA,amber,Gitter
233,3117,amber,Gitter
269,6627,amber,Gitter
273,5979,amber,Gitter
277,NA,amber,Gitter
298,875,amber,Gitter
306,711,amber,Gitter
320,NA,amber,Gitter
322,238,amber,Gitter
339,101,amber,Gitter
343,NA,amber,Gitter
346,1274,amber,Gitter
352,299,amber,Gitter
385,1296,amber,Gitter
420,2371,amber,Gitter
438,244,amber,Gitter
441,206,amber,Gitter
446,178,amber,Gitter
465,194,amber,Gitter
467,349,amber,Gitter
469,100,amber,Gitter
476,8492,amber,Gitter
478,22,amber,Gitter
486,2,amber,Gitter
491,97,amber,Gitter
507,6581,amber,Gitter
509,1,amber,Gitter
518,0,amber,Gitter
519,15,amber,Gitter
520,0,amber,Gitter
522,39,amber,Gitter
534,190,amber,Gitter
553,1321,amber,Gitter
555,NA,amber,Gitter
580,NA,amber,Gitter
582,164,amber,Gitter
585,951,amber,Gitter
590,34,amber,Gitter
592,894,amber,Gitter
617,32,amber,Gitter
619,11,amber,Gitter
629,2180,amber,Gitter
688,6961,amber,Gitter
693,5170,amber,Gitter
697,6835,amber,Gitter
698,NA,amber,Gitter
699,6771,amber,Gitter
724,6412,amber,Gitter
731,70,amber,Gitter
747,1535,amber,Gitter
749,9682,amber,Gitter
750,1510,amber,Gitter
757,53,amber,Gitter
760,NA,amber,Gitter
770,5907,amber,Gitter
772,4108,amber,Gitter
773,1174,amber,Gitter
778,NA,amber,Gitter
805,45,amber,Gitter
806,5221,amber,Gitter
835,496,amber,Gitter
840,4747,amber,Gitter
841,4737,amber,Gitter
842,4105,amber,Gitter
916,3095,amber,Gitter
919,24,amber,Gitter
928,49,amber,Gitter
938,270,amber,Gitter
941,6697,amber,Gitter
942,6362,amber,Gitter
943,NA,amber,Gitter
955,NA,amber,Gitter
958,2216,amber,Gitter
995,3701,amber,Gitter
1074,NA,amber,Gitter
1078,4535,amber,Gitter
1089,553,amber,Gitter
1118,NA,amber,Gitter
1129,NA,amber,Gitter
1136,NA,amber,Gitter
133,3139,angular,Gitter
506,5107,angular,Gitter
596,68,angular,Gitter
686,198,angular,Gitter
709,1667,angular,Gitter
733,1485,angular,Gitter
791,2210,angular,Gitter
914,90,angular,Gitter
929,1151,angular,Gitter
932,1387,angular,Gitter
951,130,angular,Gitter
965,433,angular,Gitter
973,602,angular,Gitter
1022,463,angular,Gitter
1034,1684,angular,Gitter
1050,1216,angular,Gitter
1085,1587,angular,Gitter
1143,92,angular,Gitter
1159,1451,angular,Gitter
1216,214,angular,Gitter
1236,582,angular,Gitter
1239,10895,angular,Gitter
1244,529,angular,Gitter
1254,1329,angular,Gitter
